occid,catalognumber,family,sciname,cleanedname,eventdate,island,locality,decimalLatitude,decimallongitude,coordinateUncertaintyInMeters
1285611,240821,Amastridae,Amastra frosti,Amastra micans,1932-03-31,Oahu,ridge between Palikea and Green Peak,21.4144,-158.100364,1807
42371,131810,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela; Loc. W370-6 = W370 A-6,21.465044,-158.100837,50
42428,131867,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,50
42429,131868,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,50
42430,131869,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,50
42431,131870,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,50
42463,131902,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7&8 mixed = W370 A-7&8,21.465552,-158.101628,95
42469,131908,Amastridae,Amastra spirizona,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7&8 mixed = W370 A-7&8,21.465552,-158.101628,95
42470,131909,Amastridae,Amastra spirizona,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7&8 mixed = W370 A-7&8,21.465552,-158.101628,95
42501,131940,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela; Loc. W370-8 = W370 A-8,21.465649,-158.102023,50
42502,131941,Amastridae,Amastra micans,Amastra micans,1932-08-16,Oahu,Waianae Mts.; Popouwela; Loc. W370-8 = W370 A-8,21.465649,-158.102023,50
27779,117137,Amastridae,Amastra micans,Amastra micans,1933-01-22,Oahu,Waianae Mountains; Pukaloa; (South Mohiakea Gulch) at junction of Valley 7 & main valley; Loc. W340-5,21.483262,-158.1258,50
43473,132958,Amastridae,Amastra frostii,Amastra micans,1933-06-30,Oahu,Waianae Mountains; Waianae Valley; Hiu Gulch; Loc. = W26-4,21.495406,-158.149263,100
43474,132959,Amastridae,Amastra frostii,Amastra micans,1933-06-30,Oahu,Waianae Mountains; Waianae Valley; Hiu Gulch; Loc. = W26-4,21.495406,-158.149263,100
43475,132960,Amastridae,Amastra frostii,Amastra micans,1933-06-30,Oahu,Waianae Mountains; Waianae Valley; Hiu Gulch; Loc. = W26-4,21.495406,-158.149263,100
29685,119118,Amastridae,Amastra micans frostii,Amastra micans,1933-07-30,Oahu,Waianae Mountains; Popouwela; W370 D-4. 3>4,21.458433,-158.097333,50
35494,125066,Amastridae,Amastra micans,Amastra micans,1933-12-17,Oahu,Waianae Mountains; Huliwai>Ekahanui; Loc. 2 = W400B-4,21.451445,-158.094496,50
35495,125067,Amastridae,Amastra micans,Amastra micans,1933-12-17,Oahu,Waianae Mountains; Huliwai>Ekahanui; Loc. 2 = W400B-4,21.451445,-158.094496,50
35496,125068,Amastridae,Amastra micans,Amastra micans,1933-12-17,Oahu,Waianae Mountains; Huliwai>Ekahanui; Loc. 2 = W400B-4,21.451445,-158.094496,50
36048,125597,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 8 = W410 D-9,21.439913,-158.097045,50
36049,125598,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 8 = W410 D-9,21.439913,-158.097045,50
36050,125599,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 8 = W410 D-9,21.439913,-158.097045,50
36025,125574,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 D-8,21.44056,-158.097667,50
36026,125575,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 D-8,21.44056,-158.097667,50
36027,125576,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 D-8,21.44056,-158.097667,50
35981,125530,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 6 = W410 D-7,21.440775,-158.097159,50
35982,125531,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 6 = W410 D-7,21.440775,-158.097159,50
35983,125532,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 6 = W410 D-7,21.440775,-158.097159,50
35915,125464,Amastridae,Amastra micans,Amastra micans,1934-01-07,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 5 = W410 D-6,21.440833,-158.096166,50
36154,125703,Amastridae,Amastra micans,Amastra micans,1934-01-14,Oahu,Waianae Mountains; Ekahanui; Valley I>II; Loc. 5 = W410 F-3a,21.438209,-158.093176,50
36244,125793,Amastridae,Amastra micans,Amastra micans,1934-01-14,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 E-4,21.438711,-158.094209,50
36245,125794,Amastridae,Amastra micans,Amastra micans,1934-01-14,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 E-4,21.438711,-158.094209,50
36246,125795,Amastridae,Amastra micans,Amastra micans,1934-01-14,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 E-4,21.438711,-158.094209,50
